DATE,CUUR0000SETC
2017-05-01,143.302
2017-06-01,143.432
2017-07-01,143.592
2017-08-01,143.368
2017-09-01,143.165
2017-10-01,142.213
2017-11-01,141.474
2017-12-01,141.979
2018-01-01,142.562
2018-02-01,142.807
2018-03-01,143.254
2018-04-01,142.847
2018-05-01,143.655
2018-06-01,143.813
2018-07-01,143.763
2018-08-01,143.927
2018-09-01,143.731
2018-10-01,143.990
2018-11-01,144.493
2018-12-01,145.105
2019-01-01,145.591
2019-02-01,145.466
2019-03-01,145.823
2019-04-01,145.555
2019-05-01,146.445
2019-06-01,146.554
2019-07-01,145.808
2019-08-01,146.368
2019-09-01,147.314
2019-10-01,146.957
2019-11-01,147.608
2019-12-01,147.757
2020-01-01,148.335
2020-02-01,148.457
2020-03-01,148.190
2020-04-01,147.403
2020-05-01,148.642
2020-06-01,147.643
2020-07-01,148.123
2020-08-01,148.096
2020-09-01,148.193
2020-10-01,147.723
2020-11-01,147.439
2020-12-01,148.363
2021-01-01,149.198
2021-02-01,149.324
2021-03-01,149.147
2021-04-01,150.454
2021-05-01,151.777
2021-06-01,152.863
2021-07-01,154.484
2021-08-01,157.120
2021-09-01,158.454
2021-10-01,160.727
2021-11-01,162.524
2021-12-01,165.122
2022-01-01,167.991
2022-02-01,170.629
2022-03-01,170.323
2022-04-01,172.308
2022-05-01,174.963
